USER SCHEMA,,,,,
key,type,required,,,default
name,string,TRUE,,,
email,string,TRUE,,,
password,string,TRUE,,,
accessToken,string,TRUE,,,
userName,string,TRUE,,,
address,array,,,,
,Inner Schema,,,,
,key,type,required,,
,phone,string,TRUE,,
,street,string,TRUE,,
,landMark,string,optional,,
,pin,sting,TRUE,,
,countryCode,string,TRUE,,
,,,,,
,,,,,
phoneVerified,boolean,optional,,,
emailVerified,boolean,optional,,,
profilePic,url,,,,
userType,boolean,,,,
